-49.500000,	0.000000,	10.000000,
-49.000000,	0.000000,	10.000000,
-48.500000,	0.000000,	10.000000,
-48.000000,	0.000000,	10.000000,
-47.500000,	0.000000,	10.000000,
-47.000000,	0.000000,	10.000000,
-46.500000,	0.000000,	10.000000,
-46.000000,	0.000000,	10.000000,
-45.500000,	0.000000,	10.000000,
-45.000000,	0.000000,	10.000000,
-44.500000,	0.000000,	10.000000,
-44.000000,	0.000000,	10.000000,
-43.500000,	0.000000,	10.000000,
-43.000000,	0.000000,	10.000000,
-42.500000,	0.000000,	10.000000,
-42.000000,	0.000000,	10.000000,
-41.500000,	0.000000,	10.000000,
-41.000000,	0.000000,	10.000000,
-40.500000,	0.000000,	10.000000,
-39.999550,	0.000000,	10.000000,
-39.499260,	-0.021882,	10.000000,
-39.002781,	-0.087286,	10.000000,
-38.513893,	-0.195713,	10.000000,
-38.036312,	-0.346336,	10.000000,
-37.549103,	-0.545477,	10.000000,
-37.089561,	-0.742507,	10.000000,
-36.630016,	-0.939537,	10.000000,
-36.170475,	-1.136566,	10.000000,
-35.710934,	-1.333596,	10.000000,
-35.228901,	-1.539332,	10.000000,
-34.731865,	-1.743192,	10.000000,
-34.235241,	-1.931046,	10.000000,
-33.755959,	-2.092824,	10.000000,
-33.247063,	-2.240824,	10.000000,
-32.731667,	-2.365824,	10.000000,
-32.211159,	-2.467464,	10.000000,
-31.686596,	-2.545535,	10.000000,
-31.159050,	-2.599880,	10.000000,
-30.629589,	-2.630387,	10.000000,
-30.099293,	-2.636994,	10.000000,
-29.569235,	-2.619689,	10.000000,
-29.040497,	-2.578506,	10.000000,
-28.514154,	-2.513529,	10.000000,
-27.991278,	-2.424891,	10.000000,
-27.472925,	-2.312771,	10.000000,
-26.960155,	-2.177397,	10.000000,
-26.454010,	-2.019045,	10.000000,
-25.967304,	-1.842924,	10.000000,
-25.462391,	-1.637390,	10.000000,
-25.009872,	-1.437115,	10.000000,
-24.559465,	-1.227979,	10.000000,
-24.105484,	-1.014407,	10.000000,
-23.653055,	-0.801548,	10.000000,
-23.200628,	-0.588690,	10.000000,
-22.754532,	-0.384898,	10.000000,
-22.280041,	-0.225014,	10.000000,
-21.789343,	-0.125409,	10.000000,
-21.290066,	-0.087630,	10.000000,
